epoch,train_loss,valid_loss
1,0.9599922118273452,0.9414221407061788
2,0.9312179273758886,0.9217521000771501
3,0.9149915751686443,0.910494261737323
4,0.9013973789420527,0.897159995536459
5,0.8899092601270092,0.886624473791856
6,0.8795760169861808,0.8766749271979699
7,0.8695874472323999,0.8668605774236481
8,0.8601709838086515,0.8578665402140553
9,0.8512637577359639,0.8494059047008532
10,0.842504193723337,0.8408267260676595
11,0.8343046016974244,0.8325856775719656
12,0.8255767769554034,0.8244150496715874
13,0.8172373025595736,0.8165045563991253
14,0.8092939161659639,0.8080899027677683
15,0.7996642885564946,0.7984108779225414
16,0.7803422401821802,0.7636909703323744
17,0.7403489605369481,0.724534580071048
18,0.7034765841468932,0.6946715202806223
19,0.6733009524626526,0.6685383913204141
20,0.6448091936219577,0.6433441816951355
21,0.61259198432066,0.6116767045599303
22,0.5722568060129949,0.5838401269049666
23,0.5280728453681582,0.5390737472076761
24,0.48152679299551343,0.4958581247480746
25,0.44089460839219646,0.46778588610536914
26,0.402942045948673,0.44458027622279
27,0.3725612052714203,0.41703980014874387
28,0.34919575106800277,0.40368899581658896
29,0.3327054967618043,0.39537751647681674
30,0.322415125410573,0.38544906736499046
31,0.31871667619194843,0.3785736717250013
32,0.3136905952443341,0.37505283992214977
33,0.30654667057688273,0.37041630612778986
34,0.2978503754755267,0.36160989840645597
35,0.2935514468657457,0.36146762171482066
36,0.2967285743308446,0.3659334616963141
37,0.2889578148824017,0.36566596427654247
38,0.2885038426268398,0.3871952627039603
39,0.2894625104203516,0.35972232476079086
40,0.28435361392103353,0.35682714861982007
41,0.2787620618331189,0.35199743172162257
42,0.27624941456750407,0.36181222003509556
43,0.2769761309534514,0.36460133375625264
44,0.27953268749778776,0.3653738803453575
45,0.27940831172898783,0.36095736887120555
46,0.27645917262147074,0.36738257373080535
47,0.2814426390694923,0.3571097014716308
48,0.2731073628308551,0.3603732747729547
49,0.2702128629700667,0.35703206305050744
50,0.2724365452790206,0.3626088843895839
51,0.2711642800984469,0.35751768771339865
52,0.2714205898192464,0.3569655243088217
53,0.2690253746854205,0.3580428728690514
54,0.2667675330018511,0.35121721784453586
55,0.2685590400920163,0.3622358778483188
56,0.27390225953052916,0.3616953515089475
57,0.27665501336256665,0.39293506242570836
58,0.26837271340444785,0.36023470287409304
59,0.2625781627469052,0.35915613740817454
60,0.26152603201517444,0.3586505166006304
61,0.25955588889230136,0.35753261314797724
62,0.26012585415185985,0.3574341581417964
63,0.2624891973068925,0.3558671234419982
64,0.26066851208742514,0.3522524744676788
65,0.25851214665269096,0.35534611020692336
66,0.25936018991497367,0.3572482999363636
67,0.26471617844910306,0.35347315844367533
68,0.26074838330821387,0.35464761537664075
69,0.25898110856409784,0.35313366131005786
70,0.2578779941682372,0.3556056069842291
71,0.25749537174731424,0.3568839945944186
72,0.25561091222730625,0.3675672641167274
73,0.25396681499251433,0.35553342548970185
74,0.252233901565848,0.3579613199600807
75,0.2538793849127363,0.3545672567181997
76,0.2561770321425397,0.3600558394490324
77,0.25471399967767755,0.3557592662750865
78,0.25350948441731413,0.354890059561751
79,0.2513269316954137,0.3572188920564781
80,0.2513204955595151,0.35348158063392293
81,0.2533563675692563,0.37205931975830736
82,0.2619315020892085,0.3612157678172599
83,0.26003800947514794,0.38399241062311024
84,0.2611710157524161,0.37016276199353765
